Track Number,Popularity,Danceability
3,0,0.673
4,91,0.776
9,14,0.6
4,0,0.762
1,20,0.823
4,74,0.609
5,68,0.599
3,79,0.671
1,0,0.616
1,0,0.775
3,66,0.546
1,65,0.893
4,82,0.801
1,75,0.706
1,66,0.708
11,0,0.797
1,42,0.729
3,0,0.67
1,70,0.548
1,25,0.839
9,0,0.448
6,27,0.749
5,83,0.836
4,69,0.661
10,84,0.762
15,0,0.437
11,77,0.675
6,68,0.67
1,0,0.673
3,70,0.532
6,0,0.663
1,32,0.738
1,30,0.529
4,0,0.849
1,0,0.63
1,0,0.679
1,14,0.611
1,71,0.611
1,66,0.855
1,0,0.645
8,1,0.597
1,2,0.752
1,0,0.953
1,0,0.869
4,0,0.531
4,0,0.554
1,77,0.695
1,0,0.755
2,87,0.516
7,80,0.375
1,0,0.741
10,0,0.627
1,47,0.413
10,47,0.394
3,78,0.433
21,26,0.389
10,79,0.62
1,0,0.728
1,57,0.735
1,0,0.632
1,39,0.717
1,0,0.755
12,0,0.632
5,69,0.739
2,83,0.799
14,26,0.741
3,31,0.896
16,31,0.709
1,38,0.5
12,26,0.74
2,31,0.91
13,29,0.739
1,59,0.763
4,36,0.824
3,0,0.561
3,83,0.555
4,0,0.748
1,0,0.857
1,0,0.774
1,89,0.866
1,1,0.694
1,75,0.653
1,0,0.696
8,88,0.908
8,14,0.906
10,35,0.548
9,54,0.536
2,58,0.494
7,40,0.674
1,3,0.518
1,0,0.697
8,78,0.653
5,89,0.617
9,58,0.673
60,0,0.343
1,69,0.741
10,0,0.534
26,74,0.699
1,55,0.501
1,0,0.661
13,55,0.747
1,0,0.782
1,62,0.748
22,14,0.451
11,71,0.576
3,61,0.486
2,83,0.694
9,0,0.743
4,53,0.726
9,48,0.792
7,76,0.583
1,77,0.707
1,60,0.565
9,4,0.388
1,29,0.683
1,19,0.677
16,33,0.634
1,54,0.372
11,67,0.617
5,30,0.827
10,70,0.838
1,61,0.703
4,90,0.825
3,76,0.761
6,82,0.624
2,83,0.461
12,6,0.457
5,91,0.599
7,82,0.522
3,36,0.386
1,1,0.502
1,76,0.736
1,79,0.69
1,0,0.679
1,78,0.696
2,34,0.929
12,26,0.517
1,46,0.763
1,81,0.64
3,71,0.564
1,83,0.602
1,59,0.698
1,70,0.734
16,11,0.216
1,55,0.703
1,0,0.497
3,0,0.606
5,0,0.449
1,76,0.732
1,76,0.732
1,0,0.731
4,0,0.592
20,5,0.751
3,0,0.66
1,80,0.584
1,0,0.692
1,54,0.692
2,68,0.392
3,41,0.715
2,36,0.349
2,0,0.566
1,0,0.683
8,0,0.723
1,72,0.646
10,0,0.604
1,65,0.657
1,70,0.825
2,62,0.836
1,0,0.649
2,10,0.564
1,0,0.735
12,59,0.629
7,83,0.556
1,0,0.877
12,0,0.629
7,0,0.565
12,85,0.63
6,0,0.581
1,64,0.694
4,0,0.591
1,65,0.676
6,0,0.746
14,72,0.552
9,0,0.359
5,66,0.495
1,0,0.261
1,74,0.779
18,0,0.769
18,83,0.773
1,15,0.681
1,94,0.679
1,61,0.483
5,41,0.736
1,64,0.677
1,36,0.882
2,48,0.777
1,54,0.322
3,0,0.774
1,0,0.579
10,0,0.72
1,68,0.568
5,0,0.557
5,79,0.578
4,88,0.853
1,83,0.818
1,23,0.594
2,73,0.571
1,68,0.588
1,0,0.691
5,50,0.369
1,26,0.525
2,1,0.497
1,66,0.578
75,0,0.571
1,0,0.744
10,31,0.495
45,18,0.129
4,64,0.543
42,0,0.632
16,23,0.741
17,38,0.424
34,25,0.665
9,44,0.721
1,52,0.592
2,82,0.792
2,18,0.279
3,65,0.743
14,31,0.696
1,0,0.572
9,0,0.498
32,15,0.466
12,28,0.528
16,36,0.609
1,0,0.626
8,30,0.533
39,0,0.599
36,0,0.746
4,42,0.549
16,28,0.208
2,0,0.555
1,0,0.678
6,0,0.367
6,0,0.506
1,0,0.314
1,52,0.486
1,54,0.609
1,0,0.696
14,23,0.65
9,25,0.536
10,57,0.295
7,68,0.317
2,89,0.358
9,43,0.507
1,37,0.487
23,0,0.674
1,53,0.653
1,0,0.568
7,0,0.702
12,2,0.613
6,56,0.311
20,22,0.429
6,84,0.311
4,83,0.696
8,62,0.671
10,33,0.163
10,0,0.753
1,57,0.612
14,0,0.664
7,32,0.258
12,0,0.762
14,73,0.668
2,42,0.591
19,0,0.639
7,0,0.668
6,37,0.255
13,36,0.305
1,78,0.72
9,36,0.493
1,55,0.528
3,50,0.686
6,74,0.628
14,73,0.668
1,0,0.774
2,40,0.66
2,52,0.456
1,48,0.594
3,52,0.568
10,79,0.58
3,73,0.73
6,0,0.261
19,41,0.474
1,0,0.563
1,0,0.783
1,41,0.765
6,0,0.885
1,69,0.818
2,45,0.691
24,6,0.483
1,61,0.807
1,0,0.527
10,0,0.617
1,58,0.562
1,0,0.518
1,0,0.687
1,73,0.662
2,0,0.562
2,0,0.712
1,0,0.665
1,0,0.707
4,59,0.598
2,0,0.568
3,0,0.683
2,77,0.669
7,55,0.725
1,66,0.29
1,82,0.818
6,36,0.586
1,0,0.664
1,72,0.4
1,70,0.73
26,20,0.701
1,21,0.401
2,69,0.683
12,0,0.667
1,0,0.521
1,43,0.61
11,13,0.69
43,27,0.621
1,36,0.684
17,10,0.535
1,0,0.803
2,19,0.631
1,63,0.588
6,31,0.535
1,74,0.473
1,0,0.563
5,0,0.794
14,37,0.598
10,72,0.833
6,49,0.542
2,0,0.611
6,0,0.519
13,1,0.476
7,62,0.412
4,0,0.474
2,79,0.583
4,49,0.765
8,26,0.753
7,33,0.684
5,45,0.621
1,0,0.827
1,83,0.501
5,57,0.644
14,0,0.802
1,87,0.748
8,0,0.634
1,62,0.695
1,0,0.724
1,51,0.608
6,0,0.636
1,0,0.535
1,0,0.697
1,52,0.829
1,52,0.369
1,38,0.651
1,0,0.676
1,0,0.608
1,0,0.63
5,71,0.332
6,37,0.433
2,0,0.502
3,41,0.521
1,78,0.502
1,0,0.599
5,22,0.631
1,0,0.628
1,39,0.608
14,61,0.571
4,41,0.661
1,43,0.674
1,0,0.533
14,0,0.594
2,0,0.433
7,7,0.619
1,84,0.732
1,18,0.787
23,37,0.431
1,0,0.71
12,0,0.473
3,70,0.617
5,0,0.509
1,5,0.311
1,68,0.636
3,52,0.653
1,50,0.538
7,34,0.34
1,0,0.45
1,17,0.69
1,0,0.608
1,60,0.532
3,47,0.646
1,0,0.742
7,37,0.694
6,65,0.689
1,76,0.596
2,79,0.803
2,0,0.564
2,70,0.652
5,55,0.581
5,0,0.597
2,0,0.443
1,60,0.605
